,data_type,country,state,year,quarter,name,type,count,amount
236,aggregated,india,andhra-pradesh,2019,4,Merchant payments,TOTAL,25122370,13476303367.50486
237,aggregated,india,andhra-pradesh,2019,4,Recharge & bill payments,TOTAL,24469888,8335168605.691999
238,aggregated,india,andhra-pradesh,2019,4,Financial Services,TOTAL,105662,26796571.745749153
239,aggregated,india,andhra-pradesh,2019,4,Others,TOTAL,338672,216496893.16102877
240,aggregated,india,andhra-pradesh,2020,1,Peer-to-peer payments,TOTAL,65452143,223088554055.04755
241,aggregated,india,andhra-pradesh,2020,1,Merchant payments,TOTAL,31408022,18603161784.496994
242,aggregated,india,andhra-pradesh,2020,1,Recharge & bill payments,TOTAL,30449644,10813530777.973532
243,aggregated,india,andhra-pradesh,2020,1,Financial Services,TOTAL,75238,43739133.169823855
244,aggregated,india,andhra-pradesh,2020,1,Others,TOTAL,292310,188228538.37489766
245,aggregated,india,andhra-pradesh,2020,2,Peer-to-peer payments,TOTAL,73609921,262731724130.7907
246,aggregated,india,andhra-pradesh,2020,2,Recharge & bill payments,TOTAL,41013987,16991006436.573467
247,aggregated,india,andhra-pradesh,2020,2,Merchant payments,TOTAL,29976765,22625596525.44269
248,aggregated,india,andhra-pradesh,2020,2,Financial Services,TOTAL,140941,145274999.15679634
249,aggregated,india,andhra-pradesh,2020,2,Others,TOTAL,176241,90087654.60009979
250,aggregated,india,andhra-pradesh,2020,3,Peer-to-peer payments,TOTAL,106791894,406461788252.32056
251,aggregated,india,andhra-pradesh,2020,3,Merchant payments,TOTAL,54055557,40739580213.86052
252,aggregated,india,andhra-pradesh,2020,3,Recharge & bill payments,TOTAL,43500067,19475104674.827175
253,aggregated,india,andhra-pradesh,2020,3,Financial Services,TOTAL,243088,256074924.7187529
254,aggregated,india,andhra-pradesh,2020,3,Others,TOTAL,312329,151582519.18136686
255,aggregated,india,andhra-pradesh,2020,4,Peer-to-peer payments,TOTAL,152003791,566639138543.7708
256,aggregated,india,andhra-pradesh,2020,4,Merchant payments,TOTAL,86581460,66654048149.95168
257,aggregated,india,andhra-pradesh,2020,4,Recharge & bill payments,TOTAL,46810304,20936337211.557747
258,aggregated,india,andhra-pradesh,2020,4,Financial Services,TOTAL,265470,305168772.45601684
259,aggregated,india,andhra-pradesh,2020,4,Others,TOTAL,457527,306853355.59473807
260,aggregated,india,andhra-pradesh,2021,1,Peer-to-peer payments,TOTAL,149313738,580542193013.0018
